wéichí|维持
biànhuà|变化
qípáo|旗袍
kāishí|开始
táotài|淘汰
kuàizi|筷子
piàoliàng|漂亮
dìngzuò|定做
xiànchéng|现成
héshēn|合身
Qīng Cháo|清朝
mínguó|民国
xíngdòng|行动
Yìndùrén|印度人
yìbān|一般
fúzhuāng|服装
chuānzhuó|穿着
hǎoxiàng|好像
jiānchí|坚持
chuántǒng|传统
shíyòng|实用
zhídé|值得
jiēshòu|接受
Xīfāng|西方
yǐngxǐang|影响
yǐnshí|饮食
bǎoshǒu|保守
dāochā|刀叉
jiǎndān|简单
lǐyóu|理由
rènwéi|认为
wénhuà|文化
jiāoliú|交流
biāozhǔn|标准
wèishēng|卫生
shēn|伸
pánzi|盘子
jiā|夹
gǎnmào|感冒
róngyì|容易
chuánrǎn|传染
tóngyì|同意
yóuqí|尤其
hē|喝
tāng|汤
gōngsháo|公勺
wǎn|碗
yǎo|舀
zuǐ|嘴
wǎng|往
jiǎnzhí|简直
xǐ|洗
ěxīn|恶心
gāodàng|高档
gōngkuài|公筷
zhǐchū|指出
yǒuqù|有趣
què|却
shuōmíng|说明
xiànxiàng|现象
qǔdài|取代
lìzi|例子
gǎiliáng|改良
zuìjìn|最近
dòufu|豆腐
chāojí shìchǎng|超级市场
rìcháng|日常
shípǐn|食品
jiéguǒ|结果
