qǐgài|乞丐
Xīdān Gòuwù Zhōngxīn|西单购物中心
qún|群
wéizhù|围住
qízhōng|其中
chězhù|扯住
qúnzi|裙子
qiáo|瞧
hǎohāo|好好
tiáo|条
nòng|弄
máo|毛
tóngqíngxīn|同情心
bùdéyǐ|不得已
gǔlì|鼓励
bùláo'érhuò|不劳而获
gōngpíng|公平
suǒwèi|所谓
jiějué|解决
bùliǎo|不了
yǎngchéng|养成
lǎnduò|懒惰
yīkào|依靠
xíguàn|习惯
fǎn'ér|反而
hài|害
lǎn|懒
shèhuìzhìdù|社会制度
hélǐ|合理
pínfùbùjūn|贫富不均
qióng|穷
guòcuò|过错
gèrén|个人
shībài|失败
zérèn|责任
tuī|推
fùzérèn|负责任
tàidu|态度
rènhé|任何
miǎnbùliǎo|免不了
jìngzhēng|竞争
zhě|者
biànchéng|变成
chénggōng|成功
fùdān|负担
biǎomiànshàng|表面上
kànlái|看来
chōngmǎn|充满
zuòfǎ|做法
zǔ'ài|阻碍
yǒudàolǐ|有道理
cóngqián|从前
bàngōngshì|办公室
hēchá|喝茶
kànbào|看报
ná|拿
gōngzī|工资
fánshì|凡是
nénglì|能力
hàipà|害怕
tóngqíng|同情
cánkù|残酷
dàijià|代价
wújiākěguī|无家可归
huáiyí|怀疑
gǎigékāifàng|改革开放
yǒngyuǎn|永远
dàguōfàn|大锅饭
xīfàn|稀饭
mántou|馒头
