yícìxìng|一次性
chǎnpǐn|产品
fàndiàn|饭店
tǎoyàn|讨厌
zhìliàng|质量
chà|差
bújiàndé|不见得
shuāng|双
zhúzi|竹子
hēi|黑
nián|黏
fúwùyuán|服务员
huàn|换
duàn|断
bùrú|不如
dàliàng|大量
shǐyòng|使用
jìnbù|进步
jǐnguǎn|尽管
mùqián|目前
fāngxiàng|方向
rénkǒu|人口
zīyuán|资源
huíshōu|回收
chóngfù|重复
diū|丢
wūrǎn|污染
huánjìng|环境
quán|全
yì|亿
rēng|扔
hǎochu|好处
huàichu|坏处
nándào|难道
jīngjì|经济
tiáojiàn|条件
zàochéng|造成
shìjìe|世界
guójiā|国家
zhǐbēi|纸杯
zhǐjīn|纸巾
shènzhìyú|甚至于
nèikù|内裤
yuánliào|原料
shùmù|树木
bǎohù|保护
sēnlín|森林
tíchàng|提倡
sùliào|塑料
quàn|劝
dàizi|袋子
guǎnggào|广告
lājī|垃圾
hùn|混
fēnlèi|分类
kào|靠
jiǎn|捡
wéishēng|为生
shíjìshàng|实际上
xiǎngxiàng|想像
fēngjǐngqū|风景区
yìlāguàn|易拉罐
kuàngquán shuǐ|矿泉水
píngzi|瓶子
gǎnxiè|感谢
xiàyídài|下一代
